question_text,main_verbs,tense,infinitives,passives,have_+_participle,auxiliary_verbs,pronouns,nouns,determiners,other_adjectives,prepositions,conjunctions,subject_verb_agreement
"While attempting to fly hers plane around the world in 1937, Amelia Earhart mysteriously disappeared.",False,False,False,False,False,False,True,False,False,False,False,False,False
"Richard Wright's Uncle Tom's Children, a collection of short stories, were a critical success when it appeared in 1938.",True,True,False,False,False,False,False,False,False,False,False,True,False
The principle on which the boat called a hydrofoil is designed is identically to that demonstrated by an airplane wing moving through air.,False,True,False,True,False,False,False,False,False,False,False,False,False
Migrating butterflies can travel long distant over water.,False,False,False,False,False,False,False,False,False,False,False,False,False
"During a early period in the settlement of the western United States, pioneers claimed parts of the wilderness by marking trees to establish a boundary.",False,False,False,False,False,False,False,False,True,False,False,False,False
"All digital computers use binary, or two-valued, digits instead than decimal, or ten-valued, digits to represent and store data.",False,False,False,False,False,False,False,False,False,False,False,False,False
An ambassador serves as a nation's highest-ranking diplomacy in another country.,False,False,False,False,False,False,False,True,False,False,False,False,False
Knowledge from the frontiers of research genetic will increasingly pose difficult problems for policy makers and for society in general.,False,False,False,False,False,False,False,True,False,False,False,False,False
Pictures called glass mosaics are made by setting small pieces of colors glass into fresh plaster.,False,False,False,True,False,False,False,True,True,False,True,True,False
Approximately every nineteen month Venus and the Sun reach their greatest angular separation in the solar system.,False,False,False,False,False,False,False,True,True,False,False,False,False
"Anthropologists recently have found evidence that, centuries ago, Inuits used to entering their subterranean homes through tunners, which helped keep the cold out and the heat in.",False,True,False,False,False,False,False,False,True,False,True,True,False
The tree porcupine is found in wooded areas thoughout most from North America.,False,False,False,True,False,False,False,False,True,False,True,True,False
"To date, only a small percentage of all glass manufactured in the United States is recycled, but markets for recycled glass that are growing steadily.",False,True,False,True,False,True,True,False,False,False,False,False,False
The oceans are the major source of the atmospheric moisture that is obtained through evaporator.,False,False,False,True,False,False,False,True,False,False,False,False,False
"Only those insects with high developed, multilensed eyes have good color vision",False,False,False,False,False,False,False,False,False,False,False,False,False
"The Earth's atmosphere functions much like a giant greenhouse, admitting sunlight between outer space but preventing heat from escaping.",False,False,False,False,False,False,False,False,True,False,True,True,False
The almond tree which produces the oldest species of nut and is the most widely grown of all nut trees.,False,True,False,False,False,False,True,False,False,False,False,False,False
"Fran Tannenbaum, a paleontology student doing summer fieldwork, found a completely seventy-five-million-year-old fossil eggi near Chateau, Montana.",False,False,False,False,False,False,False,False,False,False,False,False,False
"Fencing, originally developed as a sport in fourteenth century, was included in the first modern Olympic Games of 1896.",False,False,False,True,False,False,False,True,True,False,True,True,False
"Depth within ancient tombs, 3000-year-old peanuts have been found alongside mummies.",False,False,False,True,False,False,False,True,False,False,False,False,False
Art Nouveau developed in the 1890's when artists did a conscious effort to break with what they regarded as worn-out formulas of the past.,False,True,False,False,False,False,False,False,False,False,False,True,True
"The most widely cultivated all of fruit trees, the apple is second only to the grape in its importance as a temperate-zone fruit.",False,False,False,False,False,False,False,False,True,False,True,True,False
"Pawnbroking, or making loans to customers who pledge personal or household goods as security, is one of the oldest trade known.",False,False,False,False,False,False,False,True,True,False,False,False,False
"Of 1901 to 1914, acclaimed actor Douglas Fairbanks appeared on stage in a series of light comedies.",False,False,False,False,False,False,False,False,True,False,True,True,False
"Patients they suffer from common arthritis can be treated using heat, physical therapy, and aspirin.",False,False,False,True,False,False,True,False,False,False,False,False,False
"Forests contain more that merely tree; they also include smaller plants, such as mosses, shrubs, and wild flowers.",False,False,False,False,False,False,False,True,False,False,False,False,False
"The game of marbles, which originated in prehistoric times, is still played today in much lands.",False,False,False,True,False,False,False,False,False,False,False,False,False
"The modern racing bicycle is carefully engineered for safety, lightness, and reliable.",False,False,False,True,False,False,False,False,False,False,False,False,False
"Only 1954 the United States Supreme Court ruled on the case of Brown v. Board of Education, declaring segregated education uncostitutional.",False,False,False,False,False,False,False,False,False,False,False,False,False
"Because glass objects are fragile, least have survived from ancient civilizations.",False,False,False,False,False,False,False,False,False,False,False,False,False
An important effect that criticism can have on contemporary poets is the assurance that there is a growing interest their work.,False,False,False,False,False,False,True,True,False,False,False,False,False
"Music festivals, which date back as far as the mid-seventeenth century; have increased significantly in popular within the past few decades.",False,False,False,False,False,False,False,False,False,False,False,False,False
"Human skin is a complex, sensitive organ that serves many functions necessary for the maintain of life.",False,False,False,False,False,False,False,True,True,False,False,False,False
"Space photography and advanced measurement technology, including a laser reflector places on the Moon, have possible made extremely precise measurements of the surfaces of the Earth.",True,True,False,False,False,False,False,False,False,False,False,False,False
The scale of the demographic change that are now occuring and that are projected for the near future is unprecendented in human history.,False,False,False,True,False,False,False,True,True,False,False,False,False
"The paintings of artist Abraham Rattner are noted for their brilliant color, rich texture, and symbolic.",False,False,False,True,False,False,False,False,False,False,False,False,False
Between the high and low tidemarks of marine coassts existing abundant and varied plant and animal life.,False,True,False,False,False,False,False,False,False,False,False,False,False
The total amount of water in the world's ecological system has remained the same that throughout the ages.,False,False,False,False,False,False,False,True,True,False,True,True,False
Butterfiles and moths comprise the Lepidoptera order of insects find throughout most of the world.,False,False,False,False,False,False,False,False,False,False,False,False,True
"The planet Neptune has two known satellites: one about the size with Earth's Moon, the other much smaller.",False,False,False,False,False,False,False,False,True,False,True,True,False
Harry Truman's victory over Thomas Dewey was one of the biggest surprise in the political history of the United States.,False,False,False,False,False,False,False,True,True,False,False,False,False
"The narwhal resembles like other whales, but it has a long, spiral tush growing from its head.",False,False,False,False,False,False,False,True,True,False,True,True,False
"In exchange for requiring them to disclose the workings of their inventions, patents give inventors temporary, legally monopolies.",False,False,False,False,False,False,False,False,False,False,False,False,False
Lillian Gish is best known for her roles in such silently films as The Birth of a Nation and Broken Blossoms.,False,False,False,True,False,False,False,False,False,False,False,False,False
"Oraibi, Arizona, built by the Hopi Indians during 1100's, is probably the oldest continuous inhabited settlement in the United States.",False,False,False,False,False,False,False,False,False,False,False,False,False
It may take several hundred years to build inch of topsoil.,False,False,True,False,False,True,False,True,False,False,False,False,False
"Known for power, speed, and, maneuverability, the goshawk has short wings and a long tail, enabling them to dodge branches in pursuit of prey.",False,False,False,False,False,False,True,False,False,False,False,False,False
"Lubrication is essential in machinery because if the moving part of a machine come into direct contact with each other, friction interferes with motion.",False,True,False,False,False,False,False,True,True,False,False,False,False
One basic principle of international air law recognize a country's complete sovereignty over the airspace above its territory.,True,True,False,False,False,False,False,False,False,False,False,False,True
"If biennials were planted this year, they will be likely to bloom next year",True,False,False,True,False,False,False,False,False,False,False,False,False
The value of the dollar declines as the rate of inflation raises.,False,True,False,False,False,False,False,False,False,False,False,False,True
"I want to go to the beach, but I can neither swim nor I don't like the sun.",False,True,False,False,False,True,True,True,True,False,False,True,False
"Although she was tired, but she decided to finish her homework before going to bed.",False,True,False,False,False,False,True,False,False,False,False,True,False
I enjoy studying geography at school and now I have enrolled at the Economics Faculty.,True,True,False,False,False,False,False,False,False,False,False,False,True
The teachers are expecting to calling a meeting tomorrow in order to review the disciplinary problems,False,True,False,False,False,False,False,False,False,False,False,False,False
I want some meet your sister when she comes to see you she sounds very nice.,False,False,False,False,False,False,False,False,True,False,False,False,False
My friends tell mine the English exam is quite difficult but I am not worried.,False,False,False,False,False,False,True,False,False,False,False,False,False
"The tickets, which are extremely good value, can be buy from large supermarkets.",True,False,False,True,False,True,False,False,False,False,False,False,True
The number of people who asked for the discount been low but grew during the summer period.,True,True,False,False,False,False,False,False,False,False,False,False,False
He wanted always to be a doctor and after doing medicine he now works in a hospital.,True,True,False,False,False,False,False,False,False,False,False,False,True
The informations they give us was not very helpful so I consulted the website instead.,False,True,False,False,False,False,False,False,False,False,False,False,True
"There isn’t much time, do you think we should get a taxi beneath the exhibition centre?.",False,False,False,False,False,False,False,False,True,False,True,True,False
He graduated in languages in June and is now thinking of do a second degree in psychology.,False,False,False,False,False,False,False,False,False,False,False,False,False
The policeman show us an identical picture of the man who stole the car.,True,True,False,False,False,False,False,False,False,False,False,False,True
How long does it take to get of the station on foot from your house?,False,False,False,False,False,False,False,False,True,False,True,True,False
I was so angry that I took the broken watch to the jewellers to got my money back.,False,False,True,False,False,True,False,False,False,False,False,False,False
He rang me this morning along tell me that he had passed his driving test.,False,False,False,False,False,False,False,False,False,False,False,False,False
I will not be able to go in holiday this year unless I will get a part-time job.,False,False,False,False,False,False,False,False,True,False,True,True,False
It being such a nice day that they decided to have a picnic in the field.,True,True,False,False,False,False,False,False,False,False,False,False,False
I haven't never seen anybody who rides a horse so well before.,False,True,False,False,False,True,False,False,False,False,False,False,False
"My boyfriend always taking me to see horror films, but I do not like them.",True,True,False,False,False,False,False,False,False,False,False,False,True
We went to Guatemala last year of we were tired of the usual beach holiday.,False,False,False,False,False,False,False,False,True,False,True,True,False
"After quartz, calcite is the most abundant mineral aboard the crust of the Earth.",False,False,False,False,False,False,False,False,True,False,True,True,False
"Regards as the world’s foremost linguistic theorist, Noam Chomsky continues to create new theories about language and language learning.",False,False,False,False,False,False,False,True,False,False,False,False,False
"Whenever any area receives more water than the ground can absorb, the excess water flows to the lowest level, carried loose mineral.",False,True,False,False,False,False,False,False,False,False,False,False,False
In 1935 seismologist Charles F Richter devise a numerical scale for rating the strength of earthquakes.,True,True,False,False,False,False,False,False,False,False,False,False,False
After a Second World War the woman wage earner became a standard part of middle-class life in the United States.,False,False,False,False,False,False,False,False,True,False,False,False,False
"Celluloid and plastics have largely replaced genuine ivory in the manufacture like such things as buttons, billiard balls, and piano keys.",False,False,False,False,False,False,False,False,True,False,True,True,False
One of the tenets during New Criticism is that a critic need not tell readers what to think about a story.,False,False,False,False,False,False,False,False,True,False,True,True,False
"The outer ear, which included the fleshy pinna and the auditory canal, picks up and funnels sound waves toward the eardrum.",False,True,False,False,False,False,False,False,False,False,False,False,True
"An chair may be the oldest type of furniture, although its importance has varied from time to time and from country to country.",False,False,False,False,False,False,False,False,True,False,False,False,False
"When wood, natural gas, oil, or any other fuel burns, substances in the fuel was combined with oxygen in the air to produce heat.",False,True,False,True,False,False,False,False,False,False,False,False,False
Deserts are arid land areas where more water was lost through evaporation than is gained through precipitation.,False,True,False,True,False,False,False,False,False,False,False,False,False
"When goshawk chicks are young, both parents had shared in the hunting duties and in guarding the nest.",True,True,False,False,False,True,False,False,False,False,False,True,False
"Not only is whales among the largest animals that ever lived, but they are also among the most intelligent.",True,True,False,False,False,False,False,False,False,False,False,False,False
"Fish are the most ancient form of vertebrate life, and from them have evolved all other vertebrates.",False,True,False,False,True,True,False,False,False,False,False,False,False
"There is about 350 species of sharks, and although they are all carnivorous, only a few species will attack people.",True,True,False,False,False,False,False,False,False,False,False,False,True
"In the United States, there are many holidays throughout a year.",False,False,False,False,False,False,False,False,True,False,False,False,False
Tomatoes growing all year long in Florida.,False,True,False,False,False,False,False,False,False,False,False,False,False
Even thinks my aunt lost the beauty contest she is still the prettiest of all the other contestants.,True,True,False,False,False,False,False,False,False,False,False,False,True
The thief who stole my watch was compelling to restore it again.,False,False,False,False,False,False,False,False,False,False,False,False,False
I try to figuring out the answer of what the function of the organization is.,False,True,True,False,False,True,False,False,False,False,False,False,True
"The huge have increased in popularity of specialty coffees has contributed to the success of Starbucks, Barney’s and other coffee purveyors.",True,True,False,False,True,True,False,False,False,False,False,False,False
"When the silkworm gets through to lay its eggs, it dies.",False,False,True,False,False,True,False,False,False,False,True,False,False
A barometer is a device with a sealed metal chamber designed to reading the changes in the pressure of air in the atmosphere.,False,True,True,False,False,True,False,False,False,False,True,False,False
