question_text,main_verbs,tense,infinitives,passives,have_+_participle,auxiliary_verbs,pronouns,nouns,determiners,other_adjectives,prepositions,conjunctions,subject_verb_agreement
"The duties of the secretary are to take the minutes, mailing the correspondence, and calling the members before meeting.",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"If biennials were planted this year, they will be likely to bloom next year.",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
The value of the dollar declines as the rate of inflation raises.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Even though a member has drank too much the night before, the counselors at Alcoholics Anonymous will try to convince him or her to sober up and stop drinking again.",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Anthropologists assert that many of the early American Plains Indians did not engage in planting crops but to hunt, living primarily on buffalo meat.",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
The neutron bomb provides the capable of a limited nuclear war in which buildings would be preserved but people would be destroyed.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
The differential attractions of the sun and the moon have a direct effect in the raising and falling of the tides.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Despite of the pills that are available, many people still have trouble sleeping.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Before TV, the common man seldom never had the opportunity to see and hear his leaders express their views.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"If it receives enough rain at the proper time, hay will grow quickly, as grass.",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Psychology Today is interesting , informative, and it is easy to read.",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Before she died, Andrew Jackson's  daughter , who lives in the family mansion, used to take tourists through her home.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
It is essential that the temperature is not elevated to a point where the substance formed may become unstable and decompose into its constituent elements.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Two of the players from the Yankees has been chosen to participate in the All Star game.,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Joseph Heller's novel ""Catach-22"" satirizes both the horrors of war as well as the power of modern bureaucratic institutions.",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"In ""Roots"", Alex Haley uses fictional details to embellish a factual histories of seven generations of his family",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
The carbon atoms of the diamond are so strongly bonded that a diamond can only be scratched with other diamond.,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Viruses are extremely tiny parasites that able to reproduce only within the cells of theirs hosts.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"During the last Ice Age, which ended about 10,000 years ago, there was about three times more ice than is today.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Melons most probably originated in Persia and were introduced the North American continent during the sixteenth century.,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
More than 600 million individual bacteria lives on the skin of humans.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"The more directly overhead the Moon is, the great is the effect that it exhibits on the Earth.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"As the International Dateline at 180 degress longitude is crossed westerly, it becomes necessary to change the date by moving it one day forward.",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kilauea's numerous eruptions are generally composed in molten lava, with little escaping gas and few explosions.",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"The incubation period of tetanus is usually five to ten days, and the most frequently occured sympton in jaw stiffness",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
