antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'nouns', 'tense'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'determiners'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'nouns', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'tense'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'tense', 'determiners'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'tense', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),"frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'main_verbs', 'tense'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'determiners'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'prepositions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'prepositions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'determiners'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'nouns'})",frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs', 'determiners'})",frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns', 'determiners'})",frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns', 'determiners'})",frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'main_verbs'})","frozenset({'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'nouns'})","frozenset({'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'determiners'})","frozenset({'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'nouns'})","frozenset({'prepositions', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'main_verbs', 'determiners'})","frozenset({'prepositions', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'nouns', 'determiners'})","frozenset({'prepositions', 'main_verbs'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),"frozenset({'main_verbs', 'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),"frozenset({'prepositions', 'nouns', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),"frozenset({'prepositions', 'main_verbs', 'determiners'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),"frozenset({'prepositions', 'main_verbs', 'nouns'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'conjunctions'})",frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'prepositions', 'tense'})",frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
