question_text,main_verbs,tense,infinitives,passives,have_+_participle,auxiliary_verbs,pronouns,nouns,determiners,other_adjectives,prepositions,conjunctions,subject_verb_agreement
"Lake trout, fish usually finding in deep, cool lakes, are greenish gray and are covered with pale sports",False,True,False,True,False,False,False,False,False,False,False,False,True
"During the first 20 years of the space age, the US spent more than 90 billion dollars onto its civilian and military space programs.",False,False,False,False,False,False,False,False,True,False,True,True,False
Vitamin A and C and most of the B vitamin are retain in foods that have been canned,True,True,False,True,True,True,False,True,True,False,True,True,False
"Ella Baker spent her ault life working for social change by lecturing, writing, teacher, and organizing adult literacy program",False,False,False,False,False,False,True,True,True,True,True,True,False
"Gold can combined with silver in any proportion, but alloys with 50 to 60 percent silver are the strongest",True,True,False,False,False,True,False,False,True,False,True,True,True
"The camera obscura, a lensless precursor of the photogtaphic camera, consist of a darkened chamber, with light pass into it through a single",True,True,False,False,False,False,False,False,True,False,True,True,True
"Lumber production was the main industry in Michigan until the early 1900's, which the automobile industry was established in Detroit",False,False,False,True,False,False,True,True,True,True,False,False,False
Twenty minutes of vigorous exercise every day is very effect in helping a person to maintain pyshical fitness,False,True,True,False,False,True,False,True,False,False,False,False,False
"It was not untill after Emily Dickinson's death in 1886 that, hidden away in her bureau, overly one thousand unpublished poems were discovered",True,True,False,True,False,False,False,True,False,False,False,False,True
Rocks form within Earth are called intrusive or plutonic rocks because the magma from which they form often intrudes into neighboring rock,False,True,False,True,False,False,True,True,True,True,True,True,True
"Most fish swim by moving their tails from side to side, with little relatively body undulation",False,True,True,False,False,True,False,True,False,False,True,False,False
"In its life expectancy, although in most other things, the Sun is a thypical star",False,False,False,False,False,False,True,False,True,False,True,True,False
"Machines need energy to function, whether it is animal or human muscle, wind or waters currents, or heat-generated energy, such as steam",False,True,True,False,False,True,False,False,True,False,True,True,True
"The modern violin, the smallest and versatille instrument in the violin family, is tuned in fifths and produces tones ranging over four and a half octaves",True,True,False,True,False,False,False,True,False,False,False,True,False
Norman Rockwell was a meticulous artist who paintings portayed family incident and well-defined characters with a wealth of supporting details.,False,True,False,False,False,False,True,True,False,False,False,False,True
"By the late twelve century, stained glass had emerged in Europe as an integral part of Gothic architecture",True,True,False,False,False,True,False,False,True,False,True,True,True
"The US, a nation with a highly diversified economy, is a major exporter of gain, fruit, chemical, aircraft, and cars",False,False,False,False,False,False,False,True,False,False,False,False,False
"Canada began cultivation wheat intensively in 1910, which led to a demand fot tools, machines, housing, and building supplies",False,True,False,False,False,False,False,True,True,True,True,True,True
Magnesium has little structural strength and must be alloyed with another metals such as alumunium and zinc when it is to be subjected to stress,True,True,True,True,False,True,False,False,True,False,True,True,True
"Orchid seeds take up to eighteen months to mature before they sprout, and the young plants may need another two years to reach at the flowering",False,False,True,False,False,True,True,False,True,False,True,True,True
"The oldest public edifice in Washington D.C., the white house was originally constructed in the 1790's, also has been rebuilt or extensively remodeled three times since",False,False,False,True,False,False,False,True,True,False,True,True,False
"Mitosis is the normal process by which a cell divides, each new cell ending up with a same number of chromosomes as the parent cell",False,True,False,False,False,False,True,False,True,False,True,True,False
There are a series of large-scale wind patterns all over Earth are called prevailing winds that have a direct effect on weather and climate,True,True,False,True,False,False,False,True,True,False,True,True,True
"1 June, 1846, near Sacramento, California, a number of new settlers rebelled in the Bear Flag Revolt and proclaiming California an Independent republic",False,True,False,False,False,False,False,True,True,False,True,True,False
A mutation is result of a definite biochemical change in a gene that causes the offspring to vary in some characteristic from the parents,True,True,False,False,False,False,False,True,True,False,True,True,False
"By 1899 Ransom olds had establish in Detroit, Michigan, the first factory in the US for the manufacture of automobiles",True,True,False,False,False,True,False,False,True,False,True,True,True
"The invention of reinforced concrete, plate glass, and steel in the mid-1800's was enabled architects to design and build extremely tall constructions, or ""skyscrapers""",True,True,True,True,False,True,False,False,False,False,True,True,False
"Accoustic, the study of sounds, is one of the oldest of the physically sciences",True,True,False,False,False,False,False,False,True,False,False,False,False
"Each of functions of the body, even thinking, requires the expenditure of energy",False,False,False,False,False,False,False,True,True,False,True,True,False
Gourds were introduced to what is now the southwestern US by earliest peoples who migrated north from Mesoamerica about 1700 years ago,True,True,False,True,False,False,True,False,True,False,True,True,True
