antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'conjunctions'}),frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'conjunctions'}),frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),frozenset({'conjunctions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),frozenset({'determiners'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'determiners'}),frozenset({'main_verbs'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'prepositions'}),frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),frozenset({'prepositions'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'tense'}),frozenset({'nouns'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'nouns'}),frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'main_verbs'}),frozenset({'tense'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
