question_text,A,B,C,D,key_answer
"While attempting to fly hers plane around the world in 1937, Amelia Earhart mysteriously disappeared.",While,hers,around,mysteriously,B
"Richard Wright's Uncle Tom's Children, a collection of short stories, were a critical success when it appeared in 1938.",short,were,success,appeared,B
The principle on which the boat called a hydrofoil is designed is identically to that demonstrated by an airplane wing moving through air.,is identically,demonstrated by,moving,air,A
Migrating butterflies can travel long distant over water.,butterflies,travel,distant,over,C
"During a early period in the settlement of the western United States, pioneers claimed parts of the wilderness by marking trees to establish a boundary.",a early,parts,marking,to establish,A
"All digital computers use binary, or two-valued, digits instead than decimal, or ten-valued, digits to represent and store data.",All,use,instead,to represent,C
An ambassador serves as a nation's highest-ranking diplomacy in another country.,An,as a,diplomacy,country,C
Knowledge from the frontiers of research genetic will increasingly pose difficult problems for policy makers and for society in general.,Knowledge,research genetic,difficult,in general,B
Pictures called glass mosaics are made by setting small pieces of colors glass into fresh plaster.,called glass mosaics,by setting,of colors,into,C
Approximately every nineteen month Venus and the Sun reach their greatest angular separation in the solar system.,every nineteen month,their,separation,the,A
"Anthropologists recently have found evidence that, centuries ago, Inuits used to entering their subterranean homes through tunners, which helped keep the cold out and the heat in.",found evidence,used to entering,helped keep,the heat in,B
The tree porcupine is found in wooded areas thoughout most from North America.,The,found,areas,from,D
"To date, only a small percentage of all glass manufactured in the United States is recycled, but markets for recycled glass that are growing steadily.",glass manufactured,is,that are,steadily,C
The oceans are the major source of the atmospheric moisture that is obtained through evaporator.,The oceans,major source,atmospheric,evaporator,D
"Only those insects with high developed, multilensed eyes have good color vision",Only,high,have,color,B
"The Earth's atmosphere functions much like a giant greenhouse, admitting sunlight between outer space but preventing heat from escaping.",functions,between,but,escaping,B
The almond tree which produces the oldest species of nut and is the most widely grown of all nut trees.,which produces,oldest,widely grown,nut,A
"Fran Tannenbaum, a paleontology student doing summer fieldwork, found a completely seventy-five-million-year-old fossil eggi near Chateau, Montana.",doing,fieldwork,found,completely,D
"Fencing, originally developed as a sport in fourteenth century, was included in the first modern Olympic Games of 1896.",in fourteenth century,included in,first modern,of,A
"Depth within ancient tombs, 3000-year-old peanuts have been found alongside mummies.",Depth,ancient,have,alongside,A
Art Nouveau developed in the 1890's when artists did a conscious effort to break with what they regarded as worn-out formulas of the past.,in,did,conscious,the past,B
"The most widely cultivated all of fruit trees, the apple is second only to the grape in its importance as a temperate-zone fruit.",all of,only to,importance,as,A
"Pawnbroking, or making loans to customers who pledge personal or household goods as security, is one of the oldest trade known.",or making loans,who,personal,the oldest trade,D
"Of 1901 to 1914, acclaimed actor Douglas Fairbanks appeared on stage in a series of light comedies.",Of,stage,a series,comedies,A
"Patients they suffer from common arthritis can be treated using heat, physical therapy, and aspirin.",they,from,can,heat,A
"Forests contain more that merely tree; they also include smaller plants, such as mosses, shrubs, and wild flowers.",tree,also,such as,flowers,A
"The game of marbles, which originated in prehistoric times, is still played today in much lands.",game of,which,is,much,D
"The modern racing bicycle is carefully engineered for safety, lightness, and reliable.",modern,carefully,for,reliable,D
"Only 1954 the United States Supreme Court ruled on the case of Brown v. Board of Education, declaring segregated education uncostitutional.",Only,the case,declaring,education,A
"Because glass objects are fragile, least have survived from ancient civilizations.",glass,least,from,civilizations,B
