question_id,question_text,option_A,option_B,option_C,option_D,key_answer,Level
0,"While attempting to fly hers plane around the world in 1937, Amelia Earhart mysteriously disappeared.",While,hers,around,mysteriously,hers,Level 2
1,"Richard Wright's Uncle Tom's Children, a collection of short stories, were a critical success when it appeared in 1938.",short,were,success,appeared,were,Level 2
2,The principle on which the boat called a hydrofoil is designed is identically to that demonstrated by an airplane wing moving through air.,is identically,demonstrated by,moving,air,is identically,Level 2
3,"During a early period in the settlement of the western United States, pioneers claimed parts of the wilderness by marking trees to establish a boundary.",a early,parts,marking,to establish,a early,Level 1
4,An ambassador serves as a nation's highest-ranking diplomacy in another country.,An,as a,diplomacy,country,diplomacy,Level 1
5,Knowledge from the frontiers of research genetic will increasingly pose difficult problems for policy makers and for society in general.,Knowledge,research genetic,difficult,in general,research genetic,Level 1
6,Pictures called glass mosaics are made by setting small pieces of colors glass into fresh plaster.,called glass mosaics,by setting,of colors,into,of colors,Level 2
7,Approximately every nineteen month Venus and the Sun reach their greatest angular separation in the solar system.,every nineteen month,their,separation,the,every nineteen month,Level 1
8,"Anthropologists recently have found evidence that, centuries ago, Inuits used to entering their subterranean homes through tunners, which helped keep the cold out and the heat in.",found evidence,used to entering,helped keep,the heat in,used to entering,Level 2
9,The tree porcupine is found in wooded areas thoughout most from North America.,The,found,areas,from,from,Level 2
10,"To date, only a small percentage of all glass manufactured in the United States is recycled, but markets for recycled glass that are growing steadily.",glass manufactured,is,that are,steadily,that are,Level 2
11,The oceans are the major source of the atmospheric moisture that is obtained through evaporator.,The oceans,major source,atmospheric,evaporator,evaporator,Level 1
12,"The Earth's atmosphere functions much like a giant greenhouse, admitting sunlight between outer space but preventing heat from escaping.",functions,between,but,escaping,between,Level 2
13,The almond tree which produces the oldest species of nut and is the most widely grown of all nut trees.,which produces,oldest,widely grown,nut,which produces,Level 2
14,"Fencing, originally developed as a sport in fourteenth century, was included in the first modern Olympic Games of 1896.",in fourteenth century,included in,first modern,of,in fourteenth century,Level 3
15,"Depth within ancient tombs, 3000-year-old peanuts have been found alongside mummies.",Depth,ancient,have,alongside,Depth,Level 2
16,Art Nouveau developed in the 1890's when artists did a conscious effort to break with what they regarded as worn-out formulas of the past.,in,did,conscious,the past,did,Level 2
17,"The most widely cultivated all of fruit trees, the apple is second only to the grape in its importance as a temperate-zone fruit.",all of,only to,importance,as,all of,Level 2
18,"Pawnbroking, or making loans to customers who pledge personal or household goods as security, is one of the oldest trade known.",or making loans,who,personal,the oldest trade,the oldest trade,Level 1
19,"Of 1901 to 1914, acclaimed actor Douglas Fairbanks appeared on stage in a series of light comedies.",Of,stage,a series,comedies,Of,Level 2
20,"Patients they suffer from common arthritis can be treated using heat, physical therapy, and aspirin.",they,from,can,heat,they,Level 1
21,"Forests contain more that merely tree; they also include smaller plants, such as mosses, shrubs, and wild flowers.",tree,also,such as,flowers,tree,Level 1
22,"The game of marbles, which originated in prehistoric times, is still played today in much lands.",game of,which,is,much,much,Level 1
23,"The modern racing bicycle is carefully engineered for safety, lightness, and reliable.",modern,carefully,for,reliable,reliable,Level 2
24,An important effect that criticism can have on contemporary poets is the assurance that there is a growing interest their work.,effect,can have,there is a,interest their,interest their,Level 1
25,"Human skin is a complex, sensitive organ that serves many functions necessary for the maintain of life.",a complex,that,functions,maintain,maintain,Level 1
26,"Space photography and advanced measurement technology, including a laser reflector places on the Moon, have possible made extremely precise measurements of the surfaces of the Earth.",Space,including,have possible made,extremely,have possible made,Level 1
27,The scale of the demographic change that are now occuring and that are projected for the near future is unprecendented in human history.,change,projected,future,human,change,Level 2
28,"The paintings of artist Abraham Rattner are noted for their brilliant color, rich texture, and symbolic.",The paintings,noted for,color,symbolic,symbolic,Level 2
29,Between the high and low tidemarks of marine coassts existing abundant and varied plant and animal life.,Between,existing,varied,and,existing,Level 2
30,The total amount of water in the world's ecological system has remained the same that throughout the ages.,amount of water,ecological system,same that,ages,same that,Level 2
31,Butterfiles and moths comprise the Lepidoptera order of insects find throughout most of the world.,comprise,find,throughout,most of,find,Level 2
32,"The planet Neptune has two known satellites: one about the size with Earth's Moon, the other much smaller.",planet,known,about,with,with,Level 2
33,Harry Truman's victory over Thomas Dewey was one of the biggest surprise in the political history of the United States.,over,of,surprise,political,surprise,Level 2
