question_id,question_text,main_verbs,tense,infinitives,passives,have_+_participle,auxiliary_verbs,pronouns,nouns,determiners,other_adjectives,prepositions,conjunctions,subject_verb_agreement,Level
0,"While attempting to fly hers plane around the world in 1937, Amelia Earhart mysteriously disappeared.",False,False,False,False,False,False,True,False,False,False,False,False,False,Level 2
1,"Richard Wright's Uncle Tom's Children, a collection of short stories, were a critical success when it appeared in 1938.",True,True,False,False,False,False,False,False,False,False,False,True,False,Level 2
2,The principle on which the boat called a hydrofoil is designed is identically to that demonstrated by an airplane wing moving through air.,False,True,False,True,False,False,False,False,False,False,False,False,False,Level 2
3,"During a early period in the settlement of the western United States, pioneers claimed parts of the wilderness by marking trees to establish a boundary.",False,False,False,False,False,False,False,False,True,False,False,False,False,Level 1
4,An ambassador serves as a nation's highest-ranking diplomacy in another country.,False,False,False,False,False,False,False,True,False,False,False,False,False,Level 1
5,Knowledge from the frontiers of research genetic will increasingly pose difficult problems for policy makers and for society in general.,False,False,False,False,False,False,False,True,False,False,False,False,False,Level 1
6,Pictures called glass mosaics are made by setting small pieces of colors glass into fresh plaster.,False,False,False,True,False,False,False,True,True,False,True,True,False,Level 2
7,Approximately every nineteen month Venus and the Sun reach their greatest angular separation in the solar system.,False,False,False,False,False,False,False,True,True,False,False,False,False,Level 1
8,"Anthropologists recently have found evidence that, centuries ago, Inuits used to entering their subterranean homes through tunners, which helped keep the cold out and the heat in.",False,True,False,False,False,False,False,False,True,False,True,True,False,Level 2
9,The tree porcupine is found in wooded areas thoughout most from North America.,False,False,False,True,False,False,False,False,True,False,True,True,False,Level 2
10,"To date, only a small percentage of all glass manufactured in the United States is recycled, but markets for recycled glass that are growing steadily.",False,True,False,True,False,True,True,False,False,False,False,False,False,Level 2
11,The oceans are the major source of the atmospheric moisture that is obtained through evaporator.,False,False,False,True,False,False,False,True,False,False,False,False,False,Level 1
12,"The Earth's atmosphere functions much like a giant greenhouse, admitting sunlight between outer space but preventing heat from escaping.",False,False,False,False,False,False,False,False,True,False,True,True,False,Level 2
