rule_id,antecedents,consequents,combined
0,determiners,conjunctions,"determiners,conjunctions"
1,conjunctions,determiners,"conjunctions,determiners"
2,conjunctions,prepositions,"conjunctions,prepositions"
3,prepositions,conjunctions,"prepositions,conjunctions"
4,tense,conjunctions,"tense,conjunctions"
5,conjunctions,tense,"conjunctions,tense"
6,main_verbs,conjunctions,"main_verbs,conjunctions"
7,conjunctions,main_verbs,"conjunctions,main_verbs"
8,conjunctions,nouns,"conjunctions,nouns"
9,nouns,conjunctions,"nouns,conjunctions"
10,tense,determiners,"tense,determiners"
11,determiners,tense,"determiners,tense"
12,determiners,prepositions,"determiners,prepositions"
13,prepositions,determiners,"prepositions,determiners"
14,determiners,nouns,"determiners,nouns"
15,nouns,determiners,"nouns,determiners"
16,main_verbs,determiners,"main_verbs,determiners"
17,determiners,main_verbs,"determiners,main_verbs"
18,prepositions,nouns,"prepositions,nouns"
19,nouns,prepositions,"nouns,prepositions"
20,tense,nouns,"tense,nouns"
21,nouns,tense,"nouns,tense"
22,main_verbs,tense,"main_verbs,tense"
23,tense,main_verbs,"tense,main_verbs"
24,main_verbs,prepositions,"main_verbs,prepositions"
25,prepositions,main_verbs,"prepositions,main_verbs"
26,main_verbs,nouns,"main_verbs,nouns"
27,nouns,main_verbs,"nouns,main_verbs"
28,"main_verbs, determiners",tense,"main_verbs, determiners,tense"
29,"main_verbs, tense",determiners,"main_verbs, tense,determiners"
30,"tense, determiners",main_verbs,"tense, determiners,main_verbs"
31,main_verbs,"tense, determiners","main_verbs,tense, determiners"
32,determiners,"main_verbs, tense","determiners,main_verbs, tense"
33,tense,"main_verbs, determiners","tense,main_verbs, determiners"
34,"main_verbs, determiners",nouns,"main_verbs, determiners,nouns"
35,"main_verbs, nouns",determiners,"main_verbs, nouns,determiners"
36,"determiners, nouns",main_verbs,"determiners, nouns,main_verbs"
37,main_verbs,"determiners, nouns","main_verbs,determiners, nouns"
38,determiners,"main_verbs, nouns","determiners,main_verbs, nouns"
39,nouns,"main_verbs, determiners","nouns,main_verbs, determiners"
40,"tense, conjunctions",prepositions,"tense, conjunctions,prepositions"
41,"tense, prepositions",conjunctions,"tense, prepositions,conjunctions"
42,"conjunctions, prepositions",tense,"conjunctions, prepositions,tense"
43,tense,"conjunctions, prepositions","tense,conjunctions, prepositions"
44,conjunctions,"tense, prepositions","conjunctions,tense, prepositions"
45,prepositions,"tense, conjunctions","prepositions,tense, conjunctions"
46,"determiners, conjunctions",prepositions,"determiners, conjunctions,prepositions"
47,"determiners, prepositions",conjunctions,"determiners, prepositions,conjunctions"
48,"conjunctions, prepositions",determiners,"conjunctions, prepositions,determiners"
49,determiners,"conjunctions, prepositions","determiners,conjunctions, prepositions"
50,conjunctions,"determiners, prepositions","conjunctions,determiners, prepositions"
51,prepositions,"determiners, conjunctions","prepositions,determiners, conjunctions"
52,"tense, determiners",conjunctions,"tense, determiners,conjunctions"
53,"tense, conjunctions",determiners,"tense, conjunctions,determiners"
54,"determiners, conjunctions",tense,"determiners, conjunctions,tense"
55,tense,"determiners, conjunctions","tense,determiners, conjunctions"
56,determiners,"tense, conjunctions","determiners,tense, conjunctions"
57,conjunctions,"tense, determiners","conjunctions,tense, determiners"
58,"main_verbs, conjunctions",nouns,"main_verbs, conjunctions,nouns"
59,"main_verbs, nouns",conjunctions,"main_verbs, nouns,conjunctions"
60,"conjunctions, nouns",main_verbs,"conjunctions, nouns,main_verbs"
61,main_verbs,"conjunctions, nouns","main_verbs,conjunctions, nouns"
62,conjunctions,"main_verbs, nouns","conjunctions,main_verbs, nouns"
63,nouns,"main_verbs, conjunctions","nouns,main_verbs, conjunctions"
64,"main_verbs, conjunctions",prepositions,"main_verbs, conjunctions,prepositions"
65,"main_verbs, prepositions",conjunctions,"main_verbs, prepositions,conjunctions"
66,"conjunctions, prepositions",main_verbs,"conjunctions, prepositions,main_verbs"
67,main_verbs,"conjunctions, prepositions","main_verbs,conjunctions, prepositions"
68,conjunctions,"main_verbs, prepositions","conjunctions,main_verbs, prepositions"
69,prepositions,"main_verbs, conjunctions","prepositions,main_verbs, conjunctions"
70,"main_verbs, conjunctions",tense,"main_verbs, conjunctions,tense"
71,"main_verbs, tense",conjunctions,"main_verbs, tense,conjunctions"
72,"tense, conjunctions",main_verbs,"tense, conjunctions,main_verbs"
73,main_verbs,"tense, conjunctions","main_verbs,tense, conjunctions"
74,conjunctions,"main_verbs, tense","conjunctions,main_verbs, tense"
75,tense,"main_verbs, conjunctions","tense,main_verbs, conjunctions"
76,"determiners, conjunctions",nouns,"determiners, conjunctions,nouns"
